"code_chromato","num_yas","commentaire_chromato","gene","qualite_chromato","type_individu","code_ind_biomol","code_ind_tri_morpho","code_tube","num_ind_biomol","commentaire_ind","taxname","date_identification","precision_date","critere_identification","commentaire_esp_id"
"YCM331|AM4R6","YCM331","petit slip donc 8b polym","AM4","OK","A","PlagariAFF|PERAL_200910_1ID","PROASELLUS_LAGARI_AFF|PERAL_200910[1v]PLaP1","1v","1ID","","PROASELLUS_LAGARI_AFF","2010-06-16","J","M",""
"YCM147|AM4F2","YCM147","180b SALES","AM4","OK","A","Plagari|CRUZ_200910_1ID","PROASELLUS_LAGARI|CRUZ_200910[1v]PLaC1","1v","1ID","","PROASELLUS_LAGARI","2010-06-15","J","M",""
"YAD816|AM4R7","YAD816","tb","AM4","OK","A","Plescherae|MIJARES_200910_1ID","PROASELLUS_LESCHERAE|MIJARES_200910[1v]PLeMi1","1v","1ID","","PROASELLUS_LESCHERAE","2010-06-09","J","M",""
"YAD819|AM4R2","YAD819","2b polym","AM4","OK","A","Plescherae|MIJARES_200910_1ID","PROASELLUS_LESCHERAE|MIJARES_200910[1v]PLeMi1","1v","1ID","","PROASELLUS_LESCHERAE","2010-06-09","J","M",""
"YCM105|AM4F2","YCM105","200b TRES SALES, 9b polym","AM4","OK","A","Plescherae|MIJARES_200910_1ID","PROASELLUS_LESCHERAE|MIJARES_200910[1v]PLeMi1","1v","1ID","","PROASELLUS_LESCHERAE","2010-06-09","J","M",""
"YAD489|AM4R6","YAD489","GROS SLIP. 4B polym. Faire corrections","AM4","OK","A","Plescherae|MONZON_200906_1ID","PROASELLUS_LESCHERAE|MONZON_200906[1]PLeC1","1","1ID","","PROASELLUS_LESCHERAE","2009-07-23","J","M",""
"YAD545|AM4F2","YAD545","9b incertaines","AM4","OK","A","Plescherae|MONZON_200906_1ID","PROASELLUS_LESCHERAE|MONZON_200906[1]PLeC1","1","1ID","","PROASELLUS_LESCHERAE","2009-07-23","J","M",""
"YAD008|AM4R6","YAD008","GROS SLIP. Faire reverse ou autres primers","AM4","OK","A","Pligusticus|MALPASSO_201212_1ID","PROASELLUS_LIGUSTICUS_AFF|MALPASSO_201212[A1]PLMa1","A1","1ID","","PROASELLUS_LIGUSTICUS_AFF","2014-12-01","M","M",""
"YAD543|AM4R2","YAD543","3b incertaines","AM4","OK","A","Pligusticus|MALPASSO_201212_1ID","PROASELLUS_LIGUSTICUS_AFF|MALPASSO_201212[A1]PLMa1","A1","1ID","","PROASELLUS_LIGUSTICUS_AFF","2014-12-01","M","M",""
"YCM243|AM4R7","YCM243","b, petit slip, 1b polym","AM4","OK","A","Pligusticus|MADIRA_200904_1ID","PROASELLUS_LIGUSTICUS|MADIRA_200904[1]PLC1","1","1ID","","PROASELLUS_LIGUSTICUS","2009-04-01","M","M",""
"YCM283|AM4F4","YCM283","tb","AM4","OK","A","Pligusticus|SORBA_200904_1ID","PROASELLUS_LIGUSTICUS|SORBA_200904[1]PLM1","1","1ID","","PROASELLUS_LIGUSTICUS","2009-04-01","M","M",""
"YCM799|AM4R2","YCM799","3b polym","AM4","OK","A","Plusitanicus|ALVIELA_200708_1ID","PROASELLUS_LUSITANICUS|ALVIELA_200708[1]PLuA1","1","1ID","","PROASELLUS_LUSITANICUS","2011-03-01","M","M",""
"YCM184|AM4R1","YCM184","170b sales, puis tb, 3b polym","AM4","OK","A","PmargalefiCF|CASCAN2_200910_1ID","PROASELLUS_MARGALEFI_CF|CASCAN2_200910[1]PMaR1","1","1ID","","PROASELLUS_MARGALEFI_CF","2010-05-12","J","M",""
"YCM285|AM4F4","YCM285","tb, 1b polym","AM4","OK","A","Pmargalefi|MEREMIL_200910_1ID","PROASELLUS_MARGALEFI|MEREMIL_200910[1]PMaF1","1","1ID","","PROASELLUS_MARGALEFI","2010-05-14","J","M",""
"YAD505|AM4F2","YAD505","2b incertaines","AM4","OK","A","Psp|ARGATXA_201102_1ID","PROASELLUS_MERIDIANUS|ARGATXA_201102[2]PspAr1","2","1ID","","PROASELLUS_MERIDIANUS","2011-03-01","M","M",""
"YCM273|AM4F4","YCM273","SALE, 7b polym, 273b seulement!","AM4","OK","A","Pmeridianus|BUSTA_200906_1ID","PROASELLUS_MERIDIANUS|BUSTA_200906[1.]PMLL1","1.","1ID","","PROASELLUS_MERIDIANUS","2009-06-13","J","M",""
"YCM333|AM4R6","YCM333","320b petit slip puis 2 seqces.","AM4","OK","A","Pmeridianus|BUSTA_200906_1ID","PROASELLUS_MERIDIANUS|BUSTA_200906[1.]PMLL1","1.","1ID","","PROASELLUS_MERIDIANUS","2009-06-13","J","M",""
"YCM793|AM4R2","YCM793","1b polym","AM4","OK","A","Pmeridianus|CONCHA_201010_1ID","PROASELLUS_MERIDIANUS|CONCHA_201010[1]PMC1","1","1ID","","PROASELLUS_MERIDIANUS","2010-12-01","M","M",""
"YAD481|AM4R1","YAD481","2b polym","AM4","OK","A","Pmeridianus|LAFINOU_201011_1ID","PROASELLUS_MERIDIANUS|LAFINOU_201011[1]PML1","1","1ID","","PROASELLUS_MERIDIANUS","2010-12-01","M","M",""
"YAD480|AM4R1","YAD480","tb","AM4","OK","A","Pmeridianus|LOMBARD_201011_1ID","PROASELLUS_MERIDIANUS|LOMBARD_201011[1]PMLo1","1","1ID","","PROASELLUS_MERIDIANUS","2010-12-01","M","M",""
"YAD504|AM4F2","YAD504","11b polym ou incertaines","AM4","OK","A","Pmeridianus|PADIDEBA_201011_1ID","PROASELLUS_MERIDIANUS|PADIDEBA_201011[1]PMPd1","1","1ID","","PROASELLUS_MERIDIANUS","2010-12-01","M","M",""
"YAD524|AM4R1","YAD524","4b polym","AM4","OK","A","Pmeridianus|PADIDEBA_201011_1ID","PROASELLUS_MERIDIANUS|PADIDEBA_201011[1]PMPd1","1","1ID","","PROASELLUS_MERIDIANUS","2010-12-01","M","M",""
"YCM131|AM4F2","YCM131","200b SALES, 14b polym","AM4","OK","A","Pmicropectinatus|MARGHE_200904_1ID","PROASELLUS_MICROPECTINATUS|MARGHE_200904[1]PMiM1","1","1ID","","PROASELLUS_MICROPECTINATUS","2009-04-01","M","M",""
"YAD013|AM4R6","YAD013","3b incertaines","AM4","OK","A","PminoicusAFF|ARKADIOU_201410_1ID","PROASELLUS_MINOICUS_AFF|ARKADIOU_201410[A1]PMnA1","A1","1ID","","PROASELLUS_MINOICUS_AFF","2014-12-01","M","M",""
"YAD434|AM4F4","YAD434","tb","AM4","OK","A","PminoicusAFF|ARKADIOU_201410_1ID","PROASELLUS_MINOICUS_AFF|ARKADIOU_201410[A1]PMnA1","A1","1ID","","PROASELLUS_MINOICUS_AFF","2014-12-01","M","M",""
"YAF308|AM4R6","YAF308","2b polym","AM4","OK","A","PminoicusAFF|KPM28_201610_1ID","PROASELLUS_MINOICUS_AFF|KPM28_201610[A1]PMnKp1","A1","1ID","","PROASELLUS_MINOICUS_AFF","2016-12-01","M","M",""
"YAD010|AM4F2","YAD010","b-, 5b incertaines","AM4","OK","A","Pminoicus|FTANAXOS_201410_1ID","PROASELLUS_MINOICUS|FTANAXOS_201410[A1]PMnF1","A1","1ID","","PROASELLUS_MINOICUS","2014-12-01","M","M",""
"YAD432|AM4R6","YAD432","tb","AM4","OK","A","Pminoicus|FTANAXOS_201410_1ID","PROASELLUS_MINOICUS|FTANAXOS_201410[A1]PMnF1","A1","1ID","","PROASELLUS_MINOICUS","2014-12-01","M","M",""
"YAD436|AM4F4","YAD436","1b polym","AM4","OK","A","PmonodiCF|KOKKINI_200903_1ID","PROASELLUS_MONODI_CF|KOKKINI_200903[1]PMoK1","1","1ID","","PROASELLUS_MONODI_CF","2011-03-01","M","M",""
"YCM807|AM4R1","YCM807","90b dbles, sale, 7b polym","AM4","OK","A","PmonodiCF|KOKKINI_200903_1ID","PROASELLUS_MONODI_CF|KOKKINI_200903[1]PMoK1","1","1ID","","PROASELLUS_MONODI_CF","2011-03-01","M","M",""
"YAD537|AM4F4","YAD537","5b incertaines + 1b polym","AM4","OK","A","Pmonodi|EPISKOPI_201203_1ID","PROASELLUS_MONODI|EPISKOPI_201203[A1]PMoE1","A1","1ID","","PROASELLUS_MONODI","2015-01-01","M","M",""
"YAD458|AM4R1","YAD458","tb","AM4","OK","A","Pmonodi|EPISKOPI_201203_2ID","PROASELLUS_MONODI|EPISKOPI_201203[A2]PMoE2","A2","2ID","","PROASELLUS_MONODI","2015-01-01","M","M",""
"YCM803|AM4R2","YCM803","tb","AM4","OK","A","Pmonodi|TRICHONI_200404_1ID","PROASELLUS_MONODI|TRICHONI_200404[1]PMoTr1","1","1ID","","PROASELLUS_MONODI","2011-03-01","M","M",""
"YCM805|AM4R2","YCM805","tb","AM4","OK","A","PnspArpaon|ARPAON_201109_1ID","PROASELLUS_N_SP_ARPAON|ARPAON_201109[1]PspAp1","1","1ID","","PROASELLUS_N_SP_ARPAON","2011-10-01","M","M",""
"YAD949|AM4R6","YAD949","tb","AM4","OK","A","PnspBertolai|FONTTOSI_201504_1ID","PROASELLUS_N_SP_BERTOLAI|FONTTOSI_201504[A1]PspBF1","A1","1ID","","PROASELLUS_N_SP_BERTOLAI","2015-07-10","J","M",""
"YAD946|AM4F2","YAD946","tb","AM4","OK","A","PnspBertolai|FONTTOSI_201504_2ID","PROASELLUS_N_SP_BERTOLAI|FONTTOSI_201504[A2]PspBF2","A2","2ID","","PROASELLUS_N_SP_BERTOLAI","2015-07-10","J","M",""
"YAD492|AM4R6","YAD492","3b polym","AM4","OK","A","PnspBoracko|BORACKO_201107_1ID","PROASELLUS_N_SP_BORACKO|BORACKO_201107[1]PspBo1","1","1ID","","PROASELLUS_N_SP_BORACKO","2011-07-01","M","M",""
"YCM788|AM4R2","YCM788","tb","AM4","OK","A","PnspChamois|CHAMOIS_201308_2ID","PROASELLUS_N_SP_CHAMOIS|CHAMOIS_201308[1]PspCh2","1","2ID","","PROASELLUS_N_SP_CHAMOIS","2014-03-01","M","M",""
