"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","taxname_sqc","date_identification_sqc_ass","gene","nb_chromato_sqc_ass"
"FBORMIDA","44.325545","8.200062","ASELLUS_AQUATICUS|FBORMIDA_201408","ASELLUS_AQUATICUS","2015-08-01","ASELLUS_AQUATICUS|FBORMIDA_201408[A1]AAFb1","ASELLUS_AQUATICUS","2015-08-01","Aaquaticus|FBORMIDA_201408_1ID","Aaquaticus|FBORMIDA_201408_1ID_YAD910|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"FBORMIDA","44.325545","8.200062","ASELLUS_AQUATICUS|FBORMIDA_201408","ASELLUS_AQUATICUS","2015-08-01","ASELLUS_AQUATICUS|FBORMIDA_201408[A1]AAFb1","ASELLUS_AQUATICUS","2015-08-01","Aaquaticus|FBORMIDA_201408_1ID","Aaquaticus|FBORMIDA_201408_1ID_YAF013|COILKF1_YAF021_COILKR1","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"FONTTOSI","45.561586","8.555128","ASELLUS_AQUATICUS|FONTTOSI_201504","ASELLUS_AQUATICUS","2015-04-01","ASELLUS_AQUATICUS|FONTTOSI_201504[A1]AAF1","ASELLUS_AQUATICUS","2015-07-07","Aaquaticus|FONTTOSI_201504_1ID","Aaquaticus|FONTTOSI_201504_1ID_YAD855|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"FONTTOSI","45.561586","8.555128","ASELLUS_AQUATICUS|FONTTOSI_201504","ASELLUS_AQUATICUS","2015-04-01","ASELLUS_AQUATICUS|FONTTOSI_201504[A1]AAF1","ASELLUS_AQUATICUS","2015-07-07","Aaquaticus|FONTTOSI_201504_1ID","Aaquaticus|FONTTOSI_201504_1ID_YAE408|COIHCO2198","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"FONTTOSI","45.561586","8.555128","ASELLUS_AQUATICUS|FONTTOSI_201504","ASELLUS_AQUATICUS","2015-04-01","ASELLUS_AQUATICUS|FONTTOSI_201504[A2]AAF2","ASELLUS_AQUATICUS","2015-07-07","Aaquaticus|FONTTOSI_201504_2","Aaquaticus|FONTTOSI_201504_2_YAD856|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"FONTTOSI","45.561586","8.555128","ASELLUS_AQUATICUS|FONTTOSI_201504","ASELLUS_AQUATICUS","2015-04-01","ASELLUS_AQUATICUS|FONTTOSI_201504[A3]AAF3","ASELLUS_AQUATICUS","2015-07-07","Aaquaticus|FONTTOSI_201504_3","Aaquaticus|FONTTOSI_201504_3_YAD859|16SStenaF1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"FONTTOSI","45.561586","8.555128","ASELLUS_AQUATICUS|FONTTOSI_201504","ASELLUS_AQUATICUS","2015-04-01","ASELLUS_AQUATICUS|FONTTOSI_201504[A3]AAF3","ASELLUS_AQUATICUS","2015-07-07","Aaquaticus|FONTTOSI_201504_3","Aaquaticus|FONTTOSI_201504_3_YAE425|COILCO1490","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"HCOLLIAS","43.95424","4.4831","ASELLUS_SP|HCOLLIAS_201605","ASELLUS_SP","2016-07-01","ASELLUS_SP|HCOLLIAS_201605[J1]AspH1","ASELLUS_SP","2016-07-01","Asp|HCOLLIAS_201605_1","Aaquaticus|HCOLLIAS_201605_1ex_YAE944|16SStenaR1_exAsp","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"HCOLLIAS","43.95424","4.4831","ASELLUS_SP|HCOLLIAS_201605","ASELLUS_SP","2016-07-01","ASELLUS_SP|HCOLLIAS_201605[J1]AspH1","ASELLUS_SP","2016-07-01","Asp|HCOLLIAS_201605_1","Aaquaticus|HCOLLIAS_201605_1ex_YAF014|COILKF1_YAF022_COILKR1_exAsp","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"HOJEA","55.704","13.39","ASELLUS_AQUATICUS|HOJEA_200409","ASELLUS_AQUATICUS","2010-01-01","ASELLUS_AQUATICUS|HOJEA_200409[1]PCoH1","ASELLUS_AQUATICUS","2009-07-17","Pcoxalis|HOJEA_200409_1ID","Aaquaticus|HOJEA_200409_1IDex_YCD305|16SStenaR1_YCD307_16SProaF1_exPcoxalis","ASELLUS_AQUATICUS","2017-09-15","16S","2"
"KAMENEC","48.36806","21.82528","ASELLUS_AQUATICUS|KAMENEC_201105","ASELLUS_AQUATICUS","2011-06-01","ASELLUS_AQUATICUS|KAMENEC_201105[A1]AAKa1","ASELLUS_AQUATICUS","2011-06-01","Aaquaticus|KAMENEC_201105_1","Aaquaticus|KAMENEC_201105_1_YAF569|16SStenaF1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"KAMENEC","48.36806","21.82528","ASELLUS_AQUATICUS|KAMENEC_201105","ASELLUS_AQUATICUS","2011-06-01","ASELLUS_AQUATICUS|KAMENEC_201105[A1]AAKa1","ASELLUS_AQUATICUS","2011-06-01","Aaquaticus|KAMENEC_201105_1","Aaquaticus|KAMENEC_201105_1_YAF015|COILKF1_YAF023_COILKR1","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"KATOVRYS","35.191389","25.221944","ASELLUS_AQUATICUS|KATOVRYS_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|KATOVRYS_201610[A1]AAKt1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|KATOVRYS_201610_1ID","Aaquaticus|KATOVRYS_201610_1ID_YAF411|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"KATOVRYS","35.191389","25.221944","ASELLUS_AQUATICUS|KATOVRYS_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|KATOVRYS_201610[A1]AAKt1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|KATOVRYS_201610_1ID","Aaquaticus|KATOVRYS_201610_1ID_YAF618|COILKR1_YAF692_COIProaF1","ASELLUS_AQUATICUS","2017-09-15","COI","2"
