"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","code_sqc_alignement","statut_sqc_ass","date_creation_sqc_ass","taxname_sqc","date_identification_sqc_ass"
"CHAMBLAY","47.00278","5.703611","ASELLUS_AQUATICUS|CHAMBLAY_200707","ASELLUS_AQUATICUS","2007-07-25","ASELLUS_AQUATICUS|CHAMBLAY_200707[C]AAC4","ASELLUS_AQUATICUS","2007-07-25","Aaquaticus|CHAMBLAY_200707_4","","","","","",""
"CHAMBLAY","47.00278","5.703611","ASELLUS_AQUATICUS|CHAMBLAY_200707","ASELLUS_AQUATICUS","2007-07-25","ASELLUS_AQUATICUS|CHAMBLAY_200707[H]AAC5","ASELLUS_AQUATICUS","2007-07-25","Aaquaticus|CHAMBLAY_200707_5","","","","","",""
"CHAMBLAY","47.00278","5.703611","ASELLUS_AQUATICUS|CHAMBLAY_200707","ASELLUS_AQUATICUS","2007-07-25","ASELLUS_AQUATICUS|CHAMBLAY_200707[I]AAC6","ASELLUS_AQUATICUS","2007-07-25","Aaquaticus|CHAMBLAY_200707_6","","","","","",""
"CHERCHI","42.15194","9.501944","ASELLUS_AQUATICUS|CHERCHI_200810","ASELLUS_AQUATICUS","2008-11-01","ASELLUS_AQUATICUS|CHERCHI_200810[1","ASELLUS_AQUATICUS","2008-10-11","","","","","","",""
"CHERCHI","42.15194","9.501944","ASELLUS_AQUATICUS|CHERCHI_200810","ASELLUS_AQUATICUS","2008-11-01","ASELLUS_AQUATICUS|CHERCHI_200810[2","ASELLUS_AQUATICUS","2008-10-11","","","","","","",""
"CHERCHI","42.15194","9.501944","ASELLUS_AQUATICUS|CHERCHI_200810","ASELLUS_AQUATICUS","2008-11-01","ASELLUS_AQUATICUS|CHERCHI_200810[3","ASELLUS_AQUATICUS","2008-10-11","","","","","","",""
"CONDACSC","46.027719","0.227673","ASELLUS_AQUATICUS|CONDACSC_201308","ASELLUS_AQUATICUS","2013-09-01","","","","","","","","","",""
"CRAPONNE","45.73796","4.732155","ASELLUS_SP|CRAPONNE_201605","ASELLUS_SP","2016-06-01","ASELLUS_SP|CRAPONNE_201605[B1]AaCn1","ASELLUS_SP","2016-06-01","Asp|CRAPONNE_201605_1","Aaquaticus|CRAPONNE_201605_1ex_YAE977|16SStenaR1_exAsp","Aaquaticus|CRAPONNE_201605_1ex_YAE977|16SStenaR1_exAsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"CRAPONNE","45.73796","4.732155","ASELLUS_SP|CRAPONNE_201605","ASELLUS_SP","2016-06-01","ASELLUS_SP|CRAPONNE_201605[B1]AaCn1","ASELLUS_SP","2016-06-01","Asp|CRAPONNE_201605_1","Aaquaticus|CRAPONNE_201605_1ex_YAF012|COILKF1_YAF020_COILKR1_exAsp","Aaquaticus|CRAPONNE_201605_1ex_YAF012|COILKF1_YAF020_COILKR1_exAsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"CZ03CEZE","44.242949","4.318472","ASELLUS_AQUATICUS|CZ03CEZE_201307","ASELLUS_AQUATICUS","2013-09-01","","","","","","","","","",""
"DILAKKOS","35.320002","25.667938","ASELLUS_AQUATICUS|DILAKKOS_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DILAKKOS_201610[A1]AADi1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DILAKKOS_201610_1ID","Aaquaticus|DILAKKOS_201610_1ID_YAF421|16SStenaF1","Aaquaticus|DILAKKOS_201610_1ID_YAF421|16SStenaF1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"DILAKKOS","35.320002","25.667938","ASELLUS_AQUATICUS|DILAKKOS_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DILAKKOS_201610[A1]AADi1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|DILAKKOS_201610_1ID","Aaquaticus|DILAKKOS_201610_1ID_YAF577|COILKF1","Aaquaticus|DILAKKOS_201610_1ID_YAF577|COILKF1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"DOLINA","45.61256","13.86001","ASELLUS_AQUATICUS|DOLINA_201008","ASELLUS_AQUATICUS","2010-11-01","","","","","","","","","",""
"DOMMEDOR","44.811","1.219","ASELLUS_AQUATICUS|DOMMEDOR_201608","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DOMMEDOR_201608[A1]AADm1","ASELLUS_AQUATICUS","2016-08-14","Aaquaticus|DOMMEDOR_201608_1ID","Aaquaticus|DOMMEDOR_201608_1ID_YAF423|16SStenaF1","Aaquaticus|DOMMEDOR_201608_1ID_YAF423|16SStenaF1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"DOMMEDOR","44.811","1.219","ASELLUS_AQUATICUS|DOMMEDOR_201608","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|DOMMEDOR_201608[A1]AADm1","ASELLUS_AQUATICUS","2016-08-14","Aaquaticus|DOMMEDOR_201608_1ID","Aaquaticus|DOMMEDOR_201608_1ID_YAF579|COILKF1","Aaquaticus|DOMMEDOR_201608_1ID_YAF579|COILKF1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
