"code_station","lat_deg_dec","long_deg_dec","code_sqc_ass_ext","code_sqc_ass_ext_alignement","statut_sqc_ass","date_creation_sqc_ass_ext","taxname_sqc","date_identification_sqc_ass","gene"
"TREBICI1","45.673","13.825","Aaquaticus|TREBICI1_000000_0_AY531791|NCBI","Aaquaticus|TREBICI1_000000_0_AY531791|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TREBICI1","45.673","13.825","Aaquaticus|TREBICI1_000000_0_AY531792|NCBI","Aaquaticus|TREBICI1_000000_0_AY531792|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TREBICI1","45.673","13.825","Aaquaticus|TREBICI1_000000_0_AY531793|NCBI","Aaquaticus|TREBICI1_000000_0_AY531793|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"TREBICI1","45.673","13.825","Aaquaticus|TREBICI1_000000_0_DQ144740|NCBI","Aaquaticus|TREBICI1_000000_0_DQ144740|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"ULVAUPPS","59.9125","17.575556","Aaquaticus|ULVAUPPS_000000_0_FJ749276|NCBI","Aaquaticus|ULVAUPPS_000000_0_FJ749276|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ULVAUPPS","59.9125","17.575556","Aaquaticus|ULVAUPPS_000000_0_FJ749277|NCBI","Aaquaticus|ULVAUPPS_000000_0_FJ749277|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ULVAUPPS","59.9125","17.575556","Aaquaticus|ULVAUPPS_000000_0_FJ749278|NCBI","Aaquaticus|ULVAUPPS_000000_0_FJ749278|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ULVAUPPS","59.9125","17.575556","Aaquaticus|ULVAUPPS_000000_0_FJ749279|NCBI","Aaquaticus|ULVAUPPS_000000_0_FJ749279|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VAHRIVER","49.23341","18.74004","Aaquaticus|VAHRIVER_000000_0_KR921841|NCBI","Aaquaticus|VAHRIVER_000000_0_KR921841|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VANTAAST","60.32417","25.05917","Aaquaticus|VANTAAST_000000_0_KR921774|NCBI","Aaquaticus|VANTAAST_000000_0_KR921774|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VELIKI","45.788","14.197","Aaquaticus|VELIKI_000000_0_AY531759|NCBI","Aaquaticus|VELIKI_000000_0_AY531759|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VELIKI","45.788","14.197","Aaquaticus|VELIKI_000000_0_AY531760|NCBI","Aaquaticus|VELIKI_000000_0_AY531760|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VELIKI","45.788","14.197","Aaquaticus|VELIKI_000000_0_AY531796|NCBI","Aaquaticus|VELIKI_000000_0_AY531796|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VELIKI","45.788","14.197","Aaquaticus|VELIKI_000000_0_AY531802|NCBI","Aaquaticus|VELIKI_000000_0_AY531802|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VELIKI","45.788","14.197","Aaquaticus|VELIKI_000000_0_AY531807|NCBI","Aaquaticus|VELIKI_000000_0_AY531807|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"VEZIONYS","54.5512","24.16151","Aaquaticus|VEZIONYS_000000_0_KR921771|NCBI","Aaquaticus|VEZIONYS_000000_0_KR921771|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
