"liste_gene_cible_par_individu","code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","code_ind_tri_morpho","code_ind_biomol","taxname_sqc_ass"
"28S;AM4;COI;28S;16S;OPS1","CRUZ","38.10056","-1.82796","PROASELLUS_LAGARI|CRUZ_200910","PROASELLUS_LAGARI","PROASELLUS_LAGARI|CRUZ_200910[1v]PLaC1","Plagari|CRUZ_200910_1ID","PROASELLUS_LAGARI"
"AM4;AM4;COI;16S;28S;28S","CUBIO","43.27582","-3.62025","PROASELLUS_CANTABRICUS_AFF|CUBIO_201405","PROASELLUS_CANTABRICUS_AFF","PROASELLUS_CANTABRICUS_AFF|CUBIO_201405[CRYO]arnPCanC21","PcantabricusAFF|CUBIO_201405_21arn","PROASELLUS_CANTABRICUS_AFF"
"16S;COI;COI;28S;OPS1;OPS1;AM4;COI","CUBIO","43.27582","-3.62025","PROASELLUS_CANTABRICUS_AFF|CUBIO_201110","PROASELLUS_CANTABRICUS_AFF","PROASELLUS_CANTABRICUS_AFF|CUBIO_201110[1]PCanC1","PcantabricusAFF|CUBIO_201110_1ID","PROASELLUS_CANTABRICUS_AFF"
"16S;AM4;COI;28S;COI;28S;COI;16S","CUVERA","43.25482","-3.60375","PROASELLUS_SP_CUVERA2|CUVERA_201108","PROASELLUS_SP_CUVERA2","PROASELLUS_SP_CUVERA2|CUVERA_201108[B1]PspCu4","PspCuvera2|CUVERA_201108_4","PROASELLUS_SP_CUVERA2"
"28S;COI;AM4;16S;28S","CVALMALA","45.71728","10.23411","PROASELLUS_PAVANI|CVALMALA_201504","PROASELLUS_PAVANI","PROASELLUS_PAVANI|CVALMALA_201504[A1]PPvC1","Ppavani|CVALMALA_201504_1ID","PROASELLUS_PAVANI"
"AM4;COI;16S;28S;28S","CVALMALA","45.71728","10.23411","PROASELLUS_PAVANI|CVALMALA_201504","PROASELLUS_PAVANI","PROASELLUS_PAVANI|CVALMALA_201504[A2]PPvC2","Ppavani|CVALMALA_201504_2ID","PROASELLUS_PAVANI"
"28S;COI;AM4;16S","DABARSKA","44.766622","16.666698","PROASELLUS_SP|DABARSKA_200611","PROASELLUS_SP","PROASELLUS_SP|DABARSKA_200611[1F]PspDa1","PspDabarska|DABARSKA_200611_1FID","PROASELLUS_DABARSKA"
"28S;AM4;16S;AM4;COI","DATLO","43.06202","18.49938","PROASELLUS_ANOPHTALMUS|DATLO_201408","PROASELLUS_ANOPHTALMUS","PROASELLUS_ANOPHTALMUS|DATLO_201408[A2]PAnDa3","Panophtalmus|DATLO_201408_3","PROASELLUS_ANOPHTALMUS"
"AM4;OPS2;COI;28S;28S;OPS1;16S","DEIFONTE","37.32921","-3.5874","PROASELLUS_ESCOLAI|DEIFONTE_200910","PROASELLUS_ESCOLAI","PROASELLUS_ESCOLAI|DEIFONTE_200910[1v]PEcD1","Pescolai|DEIFONTE_200910_1ID","PROASELLUS_ESCOLAI"
"16S;AM4;28S;COI","DEVAILCE","43.11537","-4.7686","SYNASELLUS_BRAGAIANUS|DEVAILCE_200906","SYNASELLUS_BRAGAIANUS","SYNASELLUS_BRAGAIANUS|DEVAILCE_200906[B.]SyBI1","SYbragaianus|DEVAILCE_200906_1","SYNASELLUS_BRAGAIANUS"
